Li	000000001000000 	LiH		Литий
Na	000000001000000 	LiH		Литий
K	000000001000000 	LiH		Литий
Rb	000000001000000 	LiH		Литий
Cs	000000001000000 	LiH		Литий
Fr	000000001000000 	LiH		Литий
Be	000000000100000 	LiH		Литий
Mg	000000000100000 	LiH		Литий
Ca	000000000100000 	LiH		Литий
Sr	000000000100000 	LiH		Литий
Ba	000000000100000 	LiH		Литий
Ra	000000000100000 	LiH		Литий
Sc	000000000010000 	LiH		Литий
Y	000000000010000 	LiH		Литий
La	000000000010000 	LiH		Литий
Ac	000000000010000 	LiH		Литий
Ce	000000001000000 	LiH		Литий
Pr	000000001000000 	LiH		Литий
Nd	000000001000000 	LiH		Литий
Pm	000000001000000 	LiH		Литий
Sm	000000001000000 	LiH		Литий
Eu	000000001000000 	LiH		Литий
Gd	000000001000000 	LiH		Литий
Tb	000000001000000 	LiH		Литий
Dy	000000001000000 	LiH		Литий
Ho	000000001000000 	LiH		Литий
Er	000000001000000 	LiH		Литий
	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
Li	000000001000000 	LiH		Литий
